q101 AP880212-0047 WSJ880125-0124
q101 AP880330-0014 WSJ880125-0124 AP880212-0047
q101 WSJ880420-0116 WSJ880125-0124 AP880212-0047 AP880330-0014
q101 AP880513-0046 WSJ880125-0124 AP880212-0047 AP880330-0014 WSJ880420-0116
q101 AP880610-0264 WSJ880125-0124 AP880212-0047 AP880330-0014 WSJ880420-0116 AP880513-0046
q101 AP880610-0265 AP880212-0047 AP880330-0014 WSJ880420-0116 AP880513-0046 AP880610-0264
q101 AP880616-0137 AP880330-0014 WSJ880420-0116 AP880513-0046 AP880610-0264 AP880610-0265
q101 AP880630-0261 AP880513-0046 AP880610-0264 AP880610-0265 AP880616-0137 AP880621-0006
q101 AP880908-0019 AP880610-0265 AP880616-0137 AP880621-0006 AP880630-0261 AP880701-0099
q101 AP880928-0209 AP880616-0137 AP880621-0006 AP880630-0261 AP880701-0099 AP880908-0019
q101 AP881006-0112 AP880621-0006 AP880630-0261 AP880701-0099 AP880908-0019 AP880928-0209
q101 AP881122-0202 AP880908-0019 AP880928-0209 AP881006-0112 AP881006-0129 WSJ881007-0136
q101 AP881205-0279 AP880928-0209 AP881006-0112 AP881006-0129 WSJ881007-0136 AP881122-0202
q101 AP890304-0021 AP881006-0112 AP881006-0129 WSJ881007-0136 AP881122-0202 AP881205-0279
q101 AP890325-0018 AP881006-0129 WSJ881007-0136 AP881122-0202 AP881205-0279 AP890304-0021
q101 AP890426-0036 WSJ881007-0136 AP881122-0202 AP881205-0279 AP890304-0021 AP890325-0018
q101 AP890427-0153 AP881122-0202 AP881205-0279 AP890304-0021 AP890325-0018 AP890426-0036
q101 AP890502-0168 AP881205-0279 AP890304-0021 AP890325-0018 AP890426-0036 AP890427-0153
q101 AP890512-0173 AP890304-0021 AP890325-0018 AP890426-0036 AP890427-0153 AP890502-0168
q101 AP890715-0016 AP890325-0018 AP890426-0036 AP890427-0153 AP890502-0168 AP890512-0173
q101 AP890803-0144 AP890426-0036 AP890427-0153 AP890502-0168 AP890512-0173 AP890715-0016
q101 AP890804-0022 AP890427-0153 AP890502-0168 AP890512-0173 AP890715-0016 AP890803-0144
q101 AP890927-0189 AP890502-0168 AP890512-0173 AP890715-0016 AP890803-0144 AP890804-0022
q101 AP891102-0163 AP890512-0173 AP890715-0016 AP890803-0144 AP890804-0022 AP890927-0189
q101 AP900209-0193 AP890803-0144 AP890804-0022 AP890927-0189 AP891102-0163 AP891103-0021
q101 AP900215-0046 AP890804-0022 AP890927-0189 AP891102-0163 AP891103-0021 AP900209-0193
q101 AP900410-0134 AP890927-0189 AP891102-0163 AP891103-0021 AP900209-0193 AP900215-0046
q101 AP900422-0040 AP891102-0163 AP891103-0021 AP900209-0193 AP900215-0046 AP900410-0134
q101 AP900803-0148 AP891103-0021 AP900209-0193 AP900215-0046 AP900410-0134 AP900422-0040
q101 AP900919-0085 AP900209-0193 AP900215-0046 AP900410-0134 AP900422-0040 AP900803-0148
q103 AP880420-0121 AP880222-0170
q103 AP880422-0035 AP880222-0170 AP880420-0121 AP880421-0008 WSJ880421-0128
q103 AP880423-0081 AP880222-0170 AP880420-0121 AP880421-0008 WSJ880421-0128 AP880422-0035
q103 AP880501-0053 AP880420-0121 AP880421-0008 WSJ880421-0128 AP880422-0035 AP880423-0081
q103 AP880502-0004 AP880421-0008 WSJ880421-0128 AP880422-0035 AP880423-0081 AP880501-0053
q103 WSJ880608-0170 WSJ880421-0128 AP880422-0035 AP880423-0081 AP880501-0053 AP880502-0004
q103 AP880610-0205 AP880422-0035 AP880423-0081 AP880501-0053 AP880502-0004 WSJ880608-0170
q103 AP880613-0182 AP880423-0081 AP880501-0053 AP880502-0004 WSJ880608-0170 AP880610-0205
q103 AP880614-0057 AP880501-0053 AP880502-0004 WSJ880608-0170 AP880610-0205 AP880613-0182
q103 AP880616-0197 AP880502-0004 WSJ880608-0170 AP880610-0205 AP880613-0182 AP880614-0057
q103 AP880617-0128 AP880610-0205 AP880613-0182 AP880614-0057 AP880616-0197 WSJ880617-0067
q103 AP880621-0144 AP880614-0057 AP880616-0197 WSJ880617-0067 AP880617-0128 AP880617-0152
q103 AP880622-0236 AP880616-0197 WSJ880617-0067 AP880617-0128 AP880617-0152 AP880621-0144
q103 AP880627-0138 WSJ880617-0067 AP880617-0128 AP880617-0152 AP880621-0144 AP880622-0236
q103 WSJ880705-0068 AP880617-0128 AP880617-0152 AP880621-0144 AP880622-0236 AP880627-0138
q103 WSJ880812-0145 AP880617-0152 AP880621-0144 AP880622-0236 AP880627-0138 WSJ880705-0068
q103 AP880814-0045 AP880621-0144 AP880622-0236 AP880627-0138 WSJ880705-0068 WSJ880812-0145
q103 WSJ880922-0104 AP880622-0236 AP880627-0138 WSJ880705-0068 WSJ880812-0145 AP880814-0045
q103 AP880927-0012 AP880627-0138 WSJ880705-0068 WSJ880812-0145 AP880814-0045 WSJ880922-0104
q103 AP880928-0024 WSJ880812-0145 AP880814-0045 WSJ880922-0104 AP880927-0012 WSJ880927-0063
q103 AP880929-0181 WSJ880922-0104 AP880927-0012 WSJ880927-0063 AP880928-0024 WSJ880928-0113
q103 AP881001-0005 AP880928-0024 WSJ880928-0113 AP880929-0181 WSJ880930-0062 AP880930-0199
q103 WSJ881003-0012 AP880929-0181 WSJ880930-0062 AP880930-0199 AP881001-0005 WSJ881003-0010
q103 AP881005-0122 AP880930-0199 AP881001-0005 WSJ881003-0010 WSJ881003-0012 WSJ881005-0084
q103 WSJ881010-0135 AP881001-0005 WSJ881003-0010 WSJ881003-0012 WSJ881005-0084 AP881005-0122
q103 WSJ881013-0146 WSJ881003-0010 WSJ881003-0012 WSJ881005-0084 AP881005-0122 WSJ881010-0135
q103 AP881014-0022 WSJ881003-0012 WSJ881005-0084 AP881005-0122 WSJ881010-0135 WSJ881013-0146
q103 AP881014-0029 AP881005-0122 WSJ881010-0135 WSJ881013-0146 AP881014-0022 AP881014-0025
q103 AP881015-0094 WSJ881010-0135 WSJ881013-0146 AP881014-0022 AP881014-0025 AP881014-0029
q103 AP881022-0095 WSJ881013-0146 AP881014-0022 AP881014-0025 AP881014-0029 AP881015-0094
q103 AP890107-0092 AP881014-0022 AP881014-0025 AP881014-0029 AP881015-0094 AP881022-0095
q103 AP890109-0289 AP881014-0025 AP881014-0029 AP881015-0094 AP881022-0095 AP890107-0092
q103 AP890315-0145 AP881014-0029 AP881015-0094 AP881022-0095 AP890107-0092 AP890109-0289
q103 AP890403-0103 AP881015-0094 AP881022-0095 AP890107-0092 AP890109-0289 AP890315-0145
q103 AP890411-0148 AP881022-0095 AP890107-0092 AP890109-0289 AP890315-0145 AP890403-0103
q103 AP890418-0326 AP890107-0092 AP890109-0289 AP890315-0145 AP890403-0103 AP890411-0148
q103 AP890511-0011 AP890109-0289 AP890315-0145 AP890403-0103 AP890411-0148 AP890418-0326
q103 AP890518-0164 AP890403-0103 AP890411-0148 AP890418-0326 AP890511-0011 AP890511-0156
q103 AP890613-0192 AP890411-0148 AP890418-0326 AP890511-0011 AP890511-0156 AP890518-0164
q103 AP890616-0083 AP890418-0326 AP890511-0011 AP890511-0156 AP890518-0164 AP890613-0192
q103 AP890622-0300 AP890511-0011 AP890511-0156 AP890518-0164 AP890613-0192 AP890616-0083
q103 AP890624-0023 AP890511-0156 AP890518-0164 AP890613-0192 AP890616-0083 AP890622-0300
q103 AP890630-0108 AP890518-0164 AP890613-0192 AP890616-0083 AP890622-0300 AP890624-0023
q103 AP890711-0157 AP890613-0192 AP890616-0083 AP890622-0300 AP890624-0023 AP890630-0108
q103 AP890719-0202 AP890616-0083 AP890622-0300 AP890624-0023 AP890630-0108 AP890711-0157
q103 AP890721-0165 AP890622-0300 AP890624-0023 AP890630-0108 AP890711-0157 AP890719-0202
q103 AP890814-0089 AP890624-0023 AP890630-0108 AP890711-0157 AP890719-0202 AP890721-0165
q103 AP890830-0140 AP890630-0108 AP890711-0157 AP890719-0202 AP890721-0165 AP890814-0089
q103 AP890907-0159 AP890711-0157 AP890719-0202 AP890721-0165 AP890814-0089 AP890830-0140
q103 AP891005-0128 AP890719-0202 AP890721-0165 AP890814-0089 AP890830-0140 AP890907-0159
q103 AP891006-0104 AP890721-0165 AP890814-0089 AP890830-0140 AP890907-0159 AP891005-0128
q103 AP891010-0116 AP890814-0089 AP890830-0140 AP890907-0159 AP891005-0128 AP891006-0104
q103 AP891013-0059 AP890830-0140 AP890907-0159 AP891005-0128 AP891006-0104 AP891010-0116
q103 AP891110-0177 AP890907-0159 AP891005-0128 AP891006-0104 AP891010-0116 AP891013-0059
q103 AP891115-0221 AP891005-0128 AP891006-0104 AP891010-0116 AP891013-0059 AP891110-0177
q103 AP891121-0108 AP891006-0104 AP891010-0116 AP891013-0059 AP891110-0177 AP891115-0221
q103 AP900102-0112 AP891010-0116 AP891013-0059 AP891110-0177 AP891115-0221 AP891121-0108
q103 AP900130-0064 AP891013-0059 AP891110-0177 AP891115-0221 AP891121-0108 AP900102-0112
